ID,Question Text,Question Answer,Reference Document,Paragraph(s) Number,Keywords
Q829,"Compare the laboratory confirmation methods for Chikungunya and diabetes, and which diseases are diagnosed through blood glucose measurements?","Chikungunya is confirmed using serological tests and PCR, while diabetes diagnosis involves blood glucose measurements.",TG Booklet 6,"154, 166",Laboratory Confirmation For Chikungunya Vs. Diabetes
Q721,"When should specimens be collected for Anthrax diagnosis, and how should they be prepared, stored, and transported?","Specimens should be collected during the vesicular stage, and caution is needed due to B. anthracis' high infectivity. Specimen collection methods and storage/transport details vary for different forms of Anthrax.",TG Booklet 6,140,"Anthrax Specimen Collection: Timing, Preparation, Transport"
Q464,"Which key information should be recorded during a register review about suspected cases, and how is this information utilized in the subsequent investigation activities?","During a register review, key information about suspected cases should be recorded, including patient details, signs and symptoms, date of onset, outcome, and immunization status. This information serves as a basis for case investigation activities. The recorded data contributes to the line-listing of suspected cases, which is crucial for analyzing outbreak patterns, identifying risk factors, and guiding further investigations and responses.",TG Booklet 3,439-440,"Register Review, Key Information, Suspected Cases, Patient Details, Signs, Symptoms, Onset, Outcome, Immunization Status"
Q449,Why is the District log of suspected outbreaks and alerts designed to include information about response activities and steps taken during an outbreak?,"The log includes information about response activities and steps taken to provide a comprehensive overview of the outbreak response. Documenting these details is essential for understanding the effectiveness of interventions, identifying gaps or challenges in the response process, and improving future outbreak management strategies. The log serves as a valuable resource for evaluating the overall response and making informed decisions for ongoing and future outbreak preparedness and response efforts.",TG Booklet 3,412,"District Log, Response Activities, Steps Taken, Outbreak, Comprehensive Overview, Effectiveness, Gaps, Challenges, Improvement Strategies"
Q6,What do Community based surveillance strategies focus on?,"Community-based surveillance strategies focus on two main approaches: the identification and reporting of events based on agreed indicators (lay case definitions) by trained community members, and the reporting of unusual events (alerts) that may indicate the early stages of outbreaks. The first approach involves standardized reporting to designated focal points like Health Surveillance Assistants (HSAs), while the second relies on triaging and verifying information from alerts, often reported by community volunteers. Both approaches actively engage the community in surveillance, utilizing local knowledge for early detection and response to public health events.",TG Booklet 1,86,"Community-based Surveillance Strategies, Identification, Reporting, Agreed Indicators, Lay Case Definitions, Trained Community Members, Triaging, Verifying, Early Detection, Response."
Q451,Compare and contrast the District log of suspected outbreaks and alerts with the laboratory supplies checklist in terms of their purposes and contents.,"The District log (Annex 4A) focuses on recording information about suspected outbreaks, alerts, or unexplained events, including disease details, cases, deaths, and response activities. In contrast, the laboratory supplies checklist (Annex 4B) provides a list of items required for safe specimen collection, handling, and transportation during an outbreak investigation. While the log captures epidemiological data, the checklist emphasizes equipment and materials needed for laboratory testing. Both documents contribute to effective outbreak response by providing systematic records and ensuring preparedness.",TG Booklet 3,"411, 414","District Log, Laboratory Supplies Checklist, Purposes, Contents, Epidemiological Data, Equipment, Outbreak Response"
Q337,How can the laboratory results be reviewed during an outbreak investigation?,Review laboratory results with the investigation team at the health facility and assess whether they align with clinical findings. Seek assistance from national-level program managers or technical experts if questions arise.,TG Booklet 3,294,"Laboratory Results Review, Team, Health Facility, Clinical Alignment, National-level Assistance"
Q113,How should the One Health approach be implemented to improve reporting of public health risks?,"Emphasize the implementation of the One Health approach to improve reporting of public health risks across all levels, with a focus on strengthening technical and community capacities for all relevant sectors, including human physicians/nurses, veterinarians, and environmental inspectors.",TG Booklet 2,652,"One Health Approach Implementation, Reporting, Technical And Community Capacities"
Q1160,How does the role of a coordinator at the national level compare with that of district level focal points during acute crises?,"The national level coordinator provides overarching technical oversight and support, while district level focal points focus on coordinating disease surveillance and outbreak response specifically in crisis-affected populations.",TG Booklet 5,"128, 137-142","National Level Coordinator, District Level Focal Points, Acute Crises, Technical Oversight, Disease Surveillance, Outbreak Response"
Q188,Can you provide an example of a district spot map in disease surveillance?,"Yes, Figure 3.6 shows an example of a district spot map indicating the location of suspected and confirmed cases showing the location of factors such as roads, schools, wells and suspected and confirmed cases markers.",TG Booklet 2,817,"Example Of District Spot Map, Location Of Suspected And Confirmed Cases, Roads, Schools, Wells"
